author,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
YouTube,2,Likely to fizzle,60,1239,273,1785.0,1.308,"Listen to your man, Bareezus preach. https://t.co/RhArppBJX3 #SlowJamTheNews #FallonTonight https://t.co/kbJNtM4kJm"
YouTube,19,Likely to fizzle,169,49,2,53.0,0.039,@alexalosey @MattSteffanina You nailed it! 🏃 #YouTubeRewind
Twitter,6,Likely to fizzle,89,1094,864,2822.0,2.69,Want to know how your Tweets are performing? Check out the revamped Tweet activity dashboard:  https://t.co/g6w5dsqIo0
Twitter,2,Likely to fizzle,60,1718,1551,4820.0,4.595,@justinbieber Encore! #LoveTwitter https://t.co/imvrcp7Qmr
Twitter,2,Likely to fizzle,60,1349,485,2319.0,2.211,"It's #InternationalCatDay — time for some Monday meow-tivation 😻

https://t.co/1FRj5eLq46 https://t.co/pTVaXLlsQM"
YouTube,16,Likely to fizzle,138,24,2,28.0,0.02,@Rainbowdashie86 More time for walking!
YouTube,2,Likely to fizzle,60,1594,304,2202.0,1.613,🎈 Hardcore balloon popping.🎈 https://t.co/ji6cLCyR4d https://t.co/sTFqi2fPUu
instagram,2,Likely to fizzle,60,1050,266,1582.0,1.162,Exploring Siberia’s snowy beauty with Ksenia Sazanovich #LifeOnEarthWWIM13 https://t.co/t4WxWBMxyl https://t.co/rC5J5ckp
YouTube,2,Likely to fizzle,60,1662,312,2286.0,1.675,There’s more to it than you think. 🌀🐱🌀  https://t.co/zY3uHpUrvG https://t.co/uckWZLjSsF
instagram,2,Likely to fizzle,60,2189,430,3049.0,2.239,#whoifollow with @MarthaStewart #IGThanksgiving https://t.co/9QH1kQf3Iz https://t.co/2Y4FRLzZMY
cnnbrk,2,Likely to fizzle,60,586,512,1610.0,1.168,"Chinese Olympian Chen Xinyi tests positive for banned substance, state-run news agency says. https://t.co/23r5AxXmXS htt"
YouTube,11,Likely to fizzle,134,59,6,71.0,0.052,@LamarrWilson …we’re listening.
YouTube,2,Likely to fizzle,60,1000,352,1704.0,1.248,"💧 on🌹 &amp; 5-octave ranges
Endless 🌈 &amp; 🔥 outfit changes
A 🎄 special starring a queen
These are @MariahCarey's fa"
YouTube,2,Likely to fizzle,60,1672,368,2408.0,1.764,Liquid. Gold. https://t.co/tx1sMy74K6 https://t.co/LRUIsHEjdP
Twitter,2,Likely to fizzle,60,1526,276,2078.0,1.981,"Break a leg tonight, @jimmykimmel! Your #JimmyKimmel emoji is sure to make the #Emmys best-dressed list. https://t.co/d3"
Twitter,2,Likely to fizzle,60,3812,1832,7476.0,7.127,"So many great videos, @vine! Watching these replies like 😂
https://t.co/A51TJtjmqH"
instagram,3,Likely to fizzle,67,1116,302,1720.0,1.263,"Did you celebrate #NationalFrenchFryDay yet? Don't worry, there's still time to ketchup 🍟 https://t.co/hWj2QyxIVv"
YouTube,2,Likely to fizzle,60,5013,1044,7101.0,5.202,⚠️ Caution: running men at work⚠️  @Caspar_Lee @KSIOlajidebt #YouTubeRewind https://t.co/EDdnrjD0gu https://t.co/lff14xj
instagram,2,Likely to fizzle,60,1689,422,2533.0,1.86,Pushing the bounds of homemade animation with @pinot https://t.co/L9Bt9ZPtTg https://t.co/hD0e9BsCdy
Twitter,8,Likely to fizzle,107,1265,301,1867.0,1.78,"You made our year, and you made our year, and EVERYBODY made our year!!! #PeopleWhoMadeMy2016 https://t.co/7OeqBnU2ye"
instagram,6,Likely to fizzle,87,707,148,1003.0,0.736,Discover more stories from the Spanish-speaking community. Follow @instagramES on Twitter and Instagram
cnnbrk,2,Likely to fizzle,60,873,356,1585.0,1.15,Kenyan runner David Rudisha wins men’s 800-meter gold at Rio 2016 to retain Olympic title. https://t.co/63TZQCsEjs https
Twitter,2,Likely to fizzle,60,2625,1000,4625.0,4.409,"We 👀 you, Jupiter. #JunoMission 
https://t.co/YphJMZhTo0"
instagram,2,Likely to fizzle,60,510,87,684.0,0.502,"A stroll along the Khalkhal-Asalem road in northern Iran #TheWeekOnInstagram
https://t.co/uYU3KkTe82"
instagram,2,Likely to fizzle,60,2140,422,2984.0,2.191,#artbasel artist Hayv Kahraman on gauging interest and the gender gap https://t.co/AcH5hy5da2 https://t.co/1JCSedl2BG
Twitter,2,Likely to fizzle,60,1504,4894,11292.0,10.765,We're reverting the changes to block functionality. https://t.co/H3W3V27rKN
YouTube,2,Likely to fizzle,60,1231,307,1845.0,1.352,.@duttypaul and @DuaLipa are here so you know it’s gonna be lit tonight. https://t.co/zB6cONCJNn #NoLie https://t.co/8KX
YouTube,2,Likely to fizzle,60,2584,421,3426.0,2.51,"Uptown Funk, @kendricklamar, @taylorswift13 and more winners from last night's #GRAMMYs https://t.co/jDTLXsGKXU https://"
cnnbrk,2,Likely to fizzle,60,207,153,513.0,0.372,Police force identifies cop who shot and killed Florida woman during civilian police drill https://t.co/yAoMEe3809 https
cnnbrk,2,Likely to fizzle,60,225,167,559.0,0.405,29 lawmakers say they will leave the party of South Korea’s impeached president. https://t.co/WoW2Ku8aNy https://t.co/R4
Twitter,2,Likely to fizzle,60,418,390,1198.0,1.142,"New Year's Day brought sports fans on Twitter onto the field and ice, into broadcast booths and overtime action: https:/"
YouTube,2,Likely to fizzle,60,1045,134,1313.0,0.962,#SkiGoals. https://t.co/DtggvIoHey https://t.co/rUAcquktOd
Twitter,2,Likely to fizzle,66,504,208,920.0,0.877,"Streaming LIVE:

@timkaine
#debates 
@mike_pence

Watch on Twitter NOW!
https://t.co/l2fPw8j3O6"
cnnbrk,2,Likely to fizzle,60,622,724,2070.0,1.501,762 murders makes 2016 the deadliest year in Chicago in nearly 2 decades. https://t.co/Kmp2eqMlyc https://t.co/KaoPey6Ou
YouTube,4,Likely to fizzle,74,726,85,896.0,0.656,"We want you to be the first to know, we’re with Dilden. DILDEN 4 EVA! https://t.co/c64i8WXKAV #BadInternet https://t.co/"
YouTube,6,Likely to fizzle,78,5881,1114,8109.0,5.941,100 coats of everything means 100 times more pretty. Right @Jenna_Marbles? https://t.co/ia2RZYBu7K https://t.co/PxbfNsRn
cnnbrk,2,Likely to fizzle,60,329,205,739.0,0.536,"UN investigator: Strict secrecy laws &amp; harassment by officials are creating ""atmosphere of fear"" in Australia. https"
YouTube,2,Likely to fizzle,60,1427,306,2039.0,1.494,It’s #NationalFrenchFryDay. Kick it! 🍟 🍟 🍟 https://t.co/XO9tG9CvHa https://t.co/14dVT0Jnq8
cnnbrk,2,Likely to fizzle,60,277,207,691.0,0.501,Former French Prime Minister Francois Fillon will lead country's Republican party after winning runoff on Sunday.… https
cnnbrk,2,Likely to fizzle,60,346,277,900.0,0.653,"Turkish and Russian envoys will meet today to discuss Syria, day after killing of Russia's ambassador to Turkey.… https:"
Twitter,2,Likely to fizzle,60,604,384,1372.0,1.308,Readers unite today on Twitter for #InternationalLiteracyDay 📚 Join in! https://t.co/DH49tInXzb
YouTube,2,Likely to fizzle,60,906,166,1238.0,0.907,If someone asks if you want candy today there’s only one answer … https://t.co/0Rah9HwnP2 #NationalCandyDay https://t.co
instagram,3,Likely to fizzle,69,675,144,963.0,0.707,"“If you jump, I jump!” #TheWeekOnInstagram
https://t.co/WsVRnk8e7A"
instagram,2,Likely to fizzle,60,2815,745,4305.0,3.161,"#DailyFluff
https://t.co/yxGXxOoPrU 🐦 https://t.co/ygkICifAmy"
YouTube,2,Likely to fizzle,60,1474,212,1898.0,1.39,This little guy’s known as the Jackass Penguin. Let’s rename him in the comments! https://t.co/AjnNvXuqkW https://t.co/Z
cnnbrk,2,Likely to fizzle,60,1299,731,2761.0,2.002,"Surgeons successfully use nose cells to repair damaged knee joints in patients, study in journal Lancet says.… https://t"
YouTube,40,Limited spread,418,39,2,43.0,0.031,@shannamalcolm can you name two movies these dinosaurs were in?
instagram,2,Likely to fizzle,60,1121,208,1537.0,1.128,Get pumped for the #FinalFour with @ReggieMillerTNT 🏀 #MarchMadness https://t.co/D3wKCKLly9 https://t.co/DvPNdkkYvS
Twitter,2,Likely to fizzle,60,115,189,493.0,0.47,Reading: New stories on power of Twitter in political campaigns: @adweek (http://t.co/Mje7dQRD) &amp; @AP (http://t.co/w
cnnbrk,2,Likely to fizzle,60,1160,1045,3250.0,2.358,Kanye West is under observation at a Los Angeles hospital after the cancellation of his concert tour. https://t.co/t2fej
instagram,2,Likely to fizzle,60,2085,525,3135.0,2.302,It's go time! 😱❄️ Watch #XGames videos on Instagram now https://t.co/sZo39nvseN
Twitter,6,Likely to fizzle,88,24,10,44.0,0.042,@mattbaumanNYC And who vs whom vs whose vs who’s.
YouTube,9,Likely to fizzle,95,376,204,784.0,0.574,"@najwakaram Congratulations, Najwa!"
YouTube,2,Likely to fizzle,60,563,71,705.0,0.516,"Don’t get in the water.

Too late → https://t.co/N4bhBZmf2O #BooTube https://t.co/I11bnxoQL9"
Twitter,34,Limited spread,337,35,12,59.0,0.056,"@HipsterBUS You sure can, Jeff! Here's how: https://t.co/L0Xiitrg2z"
Twitter,2,Likely to fizzle,60,95,172,439.0,0.418,Tune in and tweet in to the VMA's http://t.co/tEz5G080
YouTube,2,Likely to fizzle,60,950,156,1262.0,0.925,"An inspirational #YouTubeMusic playlist ✌️
Tag a friend who'll you'll change the world with. https://t.co/ou95JXTNQe ht"
Twitter,2,Likely to fizzle,60,217,62,341.0,0.325,@KeshaTedder we think so too! https://t.co/AbR24YjCJ7
YouTube,2,Likely to fizzle,60,1902,227,2356.0,1.726,"Pretty sweet, dude. https://t.co/EHZk8bwZG1 #CokeAndMentos4Lyfe https://t.co/DYIudbtVqr"
cnnbrk,2,Likely to fizzle,60,586,310,1206.0,0.874,Melania Trump sits down with Anderson Cooper -- watch AC360 on CNN at 8 p.m. ET on Monday. https://t.co/9gHeCAQp3d https
Twitter,2,Likely to fizzle,60,521,656,1833.0,1.747,"New Twitter Alerts features, and now available in more countries: https://t.co/8bcHS7zZlu"
instagram,2,Likely to fizzle,60,561,106,773.0,0.567,"“Everything about designing stationery just seemed to click.”  —Anna Bond, @RiflePaperCo #ShopSmall #SmallBizSat https:/"
cnnbrk,2,Likely to fizzle,60,302,504,1310.0,0.95,"One person has been shot at an airport in Oklahoma City, according to the city's police department.… https://t.co/tuDZ13"
YouTube,21,Likely to fizzle,206,79,30,139.0,0.102,@at2ui Best day everrrrrrr! ✨🌈✨
cnnbrk,2,Likely to fizzle,60,1219,1278,3775.0,2.737,Donald Trump leads Hillary Clinton 19-3 in the race to 270 electoral votes. Follow results on CNN… https://t.co/o1usQQ8J
cnnbrk,2,Likely to fizzle,60,209,227,663.0,0.481,"Man suspected in killing of ex-NFLer released from custody, authorities say https://t.co/9OzTx7tjj0 https://t.co/qYPLeiM"
Twitter,3,Likely to fizzle,70,462,119,700.0,0.667,"2nd half of #TNF is kicking off. 🏈

Keep up with all the action right here, right now!

https://t.co/WdzHD9qrrO"
Twitter,2,Likely to fizzle,60,1105,596,2297.0,2.19,"Keep your eye on that reply! When replying to a Tweet, you can pull down to see the original Tweet. http://t.co/iVcYve0V"
YouTube,17,Likely to fizzle,150,26,2,30.0,0.022,@TayZonday A YouTube video of Twitter questions. DIGITAL MASTERY. Also you can sing a lot higher than we thought you cou
YouTube,7,Likely to fizzle,88,23,4,31.0,0.023,@KaiRossBest Even better! Go hug a squirrel!
instagram,2,Likely to fizzle,60,947,208,1363.0,1.001,A family of skaters ride together #WHPfamily https://t.co/9J3Q55EOZl
Twitter,2,Likely to fizzle,60,39,9,57.0,0.054,"@DeAngeloRB, what can we say? You're great on the gridiron and on Twitter. Thanks for sharing. #LoveTwitter  https://t.c"
YouTube,2,Likely to fizzle,60,893,122,1137.0,0.833,"Watch, vote for and share your favorite ads from the big game at #YouTubeAdBlitz → https://t.co/mt6p63Lmwp https://t.co/"
instagram,2,Likely to fizzle,60,1213,269,1751.0,1.286,"#DailyFluff
https://t.co/kEDPzdauUf 🐾 https://t.co/ZIGjAY6MGc"
cnnbrk,2,Likely to fizzle,60,561,321,1203.0,0.872,CNN updates Road to 270 map: 2 states move to toss-up column; 2 lean Clinton's way. Watch debate tonight on CNN… https:/
Twitter,3,Likely to fizzle,70,557,522,1601.0,1.526,"2/9: Right away, you began giving us great ideas to help make Twitter better. https://t.co/upTBCki2pf"
instagram,2,Likely to fizzle,60,907,165,1237.0,0.908,Lines of light for #WHPpatterns https://t.co/MdBJwECuXO
Twitter,2,Likely to fizzle,60,751,155,1061.0,1.011,Get your fashion fix and see what's happening during #NYFW with @TwitterFashion. #FollowFriday https://t.co/6mI0VPhriJ
Twitter,2,Likely to fizzle,60,82,122,326.0,0.31,Super Data! http://bit.ly/di4LXO
YouTube,2,Likely to fizzle,60,634,78,790.0,0.579,"Hail to the chief: @PattonOswalt. 

New single from @Weezer, “I Love the USA” → https://t.co/TOVuhRZWtv https://t.co/y"
Twitter,2,Likely to fizzle,60,1264,277,1818.0,1.733,"Make @VidCon last a liiiiittle longer with slow-motion portraits of @AndreaRussett, @CaseyNeistat, @smosh, and more! htt"
YouTube,2,Likely to fizzle,60,1168,262,1692.0,1.24,👶 https://t.co/WApoNNfh5L https://t.co/hLyAXHpvRt
Twitter,13,Likely to fizzle,140,158,946,2050.0,1.954,Holler if you've got the #NewTwitter! Tell us what you think and send your questions to @support if you've got any.
cnnbrk,2,Likely to fizzle,60,240,145,530.0,0.384,"Pilot error to blame for deadly crash of Blue Angels flight in June in Tennessee, Navy says. https://t.co/oj96PDLvx4 htt"
Twitter,2,Likely to fizzle,60,671,261,1193.0,1.137,"Yesterday we opened the @NeighborNest, our local community center for tech and learning: https://t.co/dsCVJRzHPS http://"
YouTube,86,Viral potential,998,10,1,12.0,0.009,@Matt_Silverman Civic duty has... never... been... CUTER! ✨😍✨ #voteIRL
Twitter,2,Likely to fizzle,60,4473,1836,8145.0,7.765,When you realize you get an extra hour of sleep tonight... #DaylightSavings https://t.co/fqW8agYbcF
instagram,2,Likely to fizzle,60,1129,172,1473.0,1.082,Dreamy looks from @wmag's Instagram-first fashion shoot #LFW https://t.co/0BvyZWUuxn
Twitter,2,Likely to fizzle,60,93,142,377.0,0.359,Twitter wine! http://t.co/zDRGWvM cc/@Fledgling
Twitter,2,Likely to fizzle,60,625,412,1449.0,1.381,"The #debate is LIVE on Twitter.

Watch the action unfold.👇
https://t.co/l2fPw8j3O6"
instagram,2,Likely to fizzle,60,661,137,935.0,0.686,This week’s Hashtag Highlight = #WhipItWednesday with @Lano132 https://t.co/RvGikeRdM4
cnnbrk,2,Likely to fizzle,60,401,696,1793.0,1.301,"Power outage in Puerto Rico leaves nearly 1.5M people in the dark, government-run electric company says. https://t.co/Cz"
instagram,2,Likely to fizzle,60,1245,282,1809.0,1.329,"#DailyFluff
https://t.co/jknNlE05si 🐾 https://t.co/Uenf2ASLHk"
YouTube,14,Likely to fizzle,135,141,83,307.0,0.225,@greysonchance It was our pleasure! Come back again soon!
Twitter,2,Likely to fizzle,60,626,291,1208.0,1.153,We can’t reach our goals alone. #JoinTheFlock to help us better serve people around the world: https://t.co/03b9Y1lhQf
YouTube,2,Likely to fizzle,60,1161,220,1601.0,1.173,This video is making us feel pawesome right meow. https://t.co/Rskucv2Lmx https://t.co/dU9Ioi1scn
Twitter,2,Likely to fizzle,60,108,36,180.0,0.171,"@avneeshk91 Keep learning and growing, Avneesh! #LoveTwitter https://t.co/1koYAebUAn"
instagram,2,Likely to fizzle,60,1566,371,2308.0,1.695,Shadows. Silhouettes. Figures wreathed in mist and smoke. Serkan Çolak celebrates obscure:  https://t.co/WZcCc3qQb0 http
instagram,2,Likely to fizzle,60,1440,357,2154.0,1.581,"#DailyFluff 
https://t.co/kRjEe4ds1a 🐾 https://t.co/PhHYNMZNgH"
Twitter,2,Likely to fizzle,60,3144,3092,9328.0,8.892,New! Find the best of Twitter in an instant with Moments: https://t.co/QAKGUSVBbT http://t.co/KAjfkysVKC
instagram,2,Likely to fizzle,60,2782,808,4398.0,3.229,Baby animals. Rock 'n' roll. Kwanzaa dancers. Watch the festive #IGHolidays2015 on Instagram in select countries https:/
cnnbrk,2,Likely to fizzle,60,701,804,2309.0,1.676,"N. Korea fired a ballistic missile around 7:50 a.m. local time, S. Korean officials say https://t.co/8shNEwgQS1 https://"
instagram,7,Likely to fizzle,97,1985,320,2625.0,1.927,"Instagram or it didn't happen. Post a video of your festivities and use #IGNewYear2016! (We're checking, seriously)"
cnnbrk,2,Likely to fizzle,60,212,161,534.0,0.387,"Ex-French President Jacques Chirac hospitalized for pulmonary infection, AFP says. https://t.co/gAB8xXgsQJ https://t.co/"
cnnbrk,2,Likely to fizzle,60,588,298,1184.0,0.858,"The suspect in the fatal shooting of a San Antonio police officer has been arrested, the city's police chief said… https"
Twitter,2,Likely to fizzle,60,568,151,870.0,0.829,"Take a #TravelTuesday hike and explore the red rock wonderland of @ArchesNPS.
https://t.co/8IdL21oUHB https://t.co/Z3Gp"
YouTube,2,Likely to fizzle,60,2325,689,3703.0,2.713,Holy 💩  that was close! https://t.co/c1Qhe5brqO https://t.co/8ZuxSBAsV1
instagram,2,Likely to fizzle,60,1117,201,1519.0,1.116,"In Singapore, appreciating a cup of coffee and the world outside https://t.co/Bce1lKrAdX"
instagram,2,Likely to fizzle,60,730,113,956.0,0.701,"For Loose Leaf, all the plants &gt; no plants 🌱 https://t.co/ozDDbfwduc"
YouTube,2,Likely to fizzle,60,939,103,1145.0,0.839,".@AURORAmusic performs ""I Went Too Far"" from her new album on @colbertlateshow. https://t.co/FLRiulCHc6 #LSSC https://t."
YouTube,2,Likely to fizzle,60,1395,283,1961.0,1.437,Glitch out in the new @CalvinHarris video → https://t.co/JrIVO4mKwt https://t.co/EtdIs5CdJU
YouTube,15,Likely to fizzle,161,154,6,166.0,0.122,"@jacksfilms Of course! Stay shiny, Jack!"
YouTube,2,Likely to fizzle,60,2414,625,3664.0,2.684,Jump on a sled and cruise through Switzerland. https://t.co/DqKZrJFpfT https://t.co/WIOvGzcmHB
YouTube,2,Likely to fizzle,60,1301,212,1725.0,1.266,NBD just practicing leaping into Unicorn Island. https://t.co/NtHB1DIBd0 #AT2UI #YTRedOriginals https://t.co/868bycRKgc
cnnbrk,2,Likely to fizzle,60,1284,489,2262.0,1.64,"OLYMPICS: Michael Phelps wins 22nd gold medal, his fourth from Rio, in 200-meter individual medley. https://t.co/BBO5ocb"
instagram,2,Likely to fizzle,60,1723,458,2639.0,1.938,Creating playful art can be a labor of love https://t.co/UXwoknVzYx https://t.co/fUDvHNy5gY
YouTube,8,Likely to fizzle,97,9,2,13.0,0.01,@JentotheDen We want to hear your ukulele forever. We need to find more people to register to #voteIRL.
cnnbrk,2,Likely to fizzle,60,823,386,1595.0,1.157,"Donald Trump tells Wall Street Journal there is ""zero chance I'll quit"" presidential race. https://t.co/YgOFyrtL2L"
cnnbrk,2,Likely to fizzle,60,331,235,801.0,0.581,Pacific Northwest is bracing for a second storm aiming to pummel the coast today with intense wind and rain.… https://t.
instagram,2,Likely to fizzle,60,2793,838,4469.0,3.281,"Compelling, not creepy: @scottradke’s lovable creatures https://t.co/8OXejndolI https://t.co/9f446FFFX1"
instagram,2,Likely to fizzle,60,1113,247,1607.0,1.18,"#DailyFluff
https://t.co/70P9f5NW5w 🐾 https://t.co/eKk7UHHG1b"
instagram,2,Likely to fizzle,60,980,144,1268.0,0.93,One happy pup tucked into a wheat field https://t.co/9EU5FfoDKy
Twitter,2,Likely to fizzle,60,1352,514,2380.0,2.269,"🎵 But I would swim five thousand miles and I would swim five thousand more 🎵
https://t.co/Trn635Yf8Y"
instagram,2,Likely to fizzle,60,1202,343,1888.0,1.386,Under the microscope: Capturing New York City’s pond life https://t.co/T3unGK4LLS https://t.co/uxyKv91wq1
YouTube,2,Likely to fizzle,60,1909,363,2635.0,1.93,"This took a lot of work work work work work.

Top Hits of 2016 in 3 minutes by @UsTheDuo → https://t.co/G0KQs81NTu htt"
YouTube,2,Likely to fizzle,60,3196,661,4518.0,3.31,It’s #NationalDonutDay omnomnomnomnom. https://t.co/DZMN03g8GZ 🍩🍩🍩 https://t.co/RCAy0MpMMd
instagram,2,Likely to fizzle,60,900,187,1274.0,0.935,After class and between assignments with Cassandra Giraldo https://t.co/HzsxN2XmnZ https://t.co/QNSp30myxf
Twitter,2,Likely to fizzle,60,900,573,2046.0,1.95,Party on! Share your birthday celebration by adding your birth date to your Twitter profile: https://t.co/rTSktq9FMm htt
cnnbrk,2,Likely to fizzle,60,183,131,445.0,0.323,Detainees at Manus Island refugee camp blame Australian government for death of 27-year-old refugee last week.… https://
YouTube,3,Likely to fizzle,71,1125,239,1603.0,1.174,"Are you #TeamBoxers or #TeamBriefs?

100 years of Men’s underwear → https://t.co/kFszfEF4Cf https://t.co/vpZphcz2On"
Twitter,2,Likely to fizzle,60,139,188,515.0,0.491,Our latest Hack Week fest focused on efficiency - and then there was Code Class. Check it! http://t.co/jp5DHhNw
cnnbrk,2,Likely to fizzle,60,356,488,1332.0,0.966,"Man who killed himself after Munich shootings thought to be only gunman, police say. https://t.co/Ch2DXj1grr https://t.c"
YouTube,2,Likely to fizzle,60,1807,373,2553.0,1.87,No doubt this Gwen Stefani song will be on repeat all weekend. https://t.co/XSEqR7fXfB https://t.co/io7M5kxUDo
instagram,2,Likely to fizzle,60,646,128,902.0,0.662,"Living on the road, traveling the world with @BenoitPaille https://t.co/DYooMQC83L"
YouTube,2,Likely to fizzle,60,881,136,1153.0,0.844,Let’s get this Wednesday poppin’. https://t.co/DBYRmrRHYC https://t.co/Cf84WBifQC
Twitter,2,Likely to fizzle,60,839,463,1765.0,1.683,"#LoveWins was the biggest moment on Twitter this summer. See the whole list, via @people: http://t.co/90xzlFqsiv http://"
instagram,2,Likely to fizzle,60,1035,224,1483.0,1.089,"“Stay sharp, stay curious and don’t force it.” —@currystrumpet #WhenPeopleMatchPlaces https://t.co/LaRAtODCep"
YouTube,2,Likely to fizzle,60,1892,496,2884.0,2.113,You better lose yourself to mom’s spaghetti. https://t.co/o6QJqUEXLh 🍝🍝🍝 #NationalSpaghettiDay https://t.co/CAJydAWu0L
instagram,2,Likely to fizzle,60,1152,299,1750.0,1.285,"“If I don’t help conserve it, there won’t be anything left for me to paint.” —@mamachui2 
https://t.co/nmUuQZofOk"
YouTube,33,Limited spread,322,32,6,44.0,0.032,"@HeFlawless Like always, a flawless video. Thank you, Kenneth! #ProudToBe"
Twitter,8,Likely to fizzle,86,181,1159,2499.0,2.382,"And, we hit about 5,500 Tweets per second (TPS). For context, this TPS is more than Osama Bin Laden's death & on par w/ "
Twitter,5,Likely to fizzle,78,793,177,1147.0,1.093,"By car, plane or sleigh — where are you heading for the holidays? #TravelTuesday https://t.co/bEjPM51QqY"
cnnbrk,2,Likely to fizzle,60,1071,338,1747.0,1.268,Indians beat Cubs 7-2 in Game 4 of World Series.  https://t.co/kNHHNW8kK9 https://t.co/tuVZcKzOzc
YouTube,2,Likely to fizzle,60,875,154,1183.0,0.867,"Sean Paul, it’s nice to @Sia you again. https://t.co/9QglzgjrXz https://t.co/xJFNDZGXU1"
instagram,2,Likely to fizzle,60,1238,311,1860.0,1.366,“My dance is neither a philosophy nor a job; it is the way I am feeling emotionally.” —Olga Kuraeva https://t.co/TsXl81r
instagram,2,Likely to fizzle,60,1348,261,1870.0,1.373,"#DailyFluff 
https://t.co/jhCruYD30C 🐾 https://t.co/RAhx9KmYDv"
YouTube,2,Likely to fizzle,60,906,217,1340.0,0.981,We're not opposable to this. https://t.co/zyKzBoonl4 https://t.co/TTDtsxLAF6
Twitter,22,Likely to fizzle,175,57,146,349.0,0.333,"It's amazing that today we're celebrating our 140th ""character"" here at Twitter. Thanks to @BT for helping us party!"
instagram,2,Likely to fizzle,60,647,108,863.0,0.633,Going the distance with runner @Mo_Farah https://t.co/dspQbsylWe
YouTube,2,Likely to fizzle,60,844,110,1064.0,0.779,🎅  ƨɒmƚƨiɿʜɔ yɿɿɘm ɒ uoy ʜƨiw ɘw 🎅 https://t.co/2FfuFtJYQb https://t.co/TEkzdgif5M
YouTube,2,Likely to fizzle,60,1028,172,1372.0,1.005,GOAL! Sort of. @MatPatGT and @CaptainSparklez play car soccer IRL → https://t.co/oYOWOH1j1v #GameLab https://t.co/hiMlKs
cnnbrk,2,Likely to fizzle,60,388,372,1132.0,0.821,"At least 40 people killed when train derails near India's northern city of Kanpur, officials say. https://t.co/Hk00nFys7"
Twitter,2,Likely to fizzle,60,103,95,293.0,0.279,"A life on the Streets, Captured by Twitter http://t.co/Ure7T12 (Follow-up story from this previous Tweet: http://t.co/TA"
Twitter,2,Likely to fizzle,60,709,202,1113.0,1.061,"Group Direct Messages keep those who need to know, in the know. 

Party with #TwitterTips 🎉 https://t.co/JMBg3mMb7k
h"
YouTube,2,Likely to fizzle,60,675,100,875.0,0.641,"When you realize your day’s about to get lit 🚀 🚀 🚀

Blast off with #BrokeShow →  https://t.co/QX81dohX4A https://t.co/"
Twitter,2,Likely to fizzle,60,1664,467,2598.0,2.477,"When you see ⏪👆⏩ on a GIF, control time — frame by frame. 

Give these ScratchReels a scrub: https://t.co/zS4NL4sZIr
"
instagram,2,Likely to fizzle,60,1357,313,1983.0,1.456,A mesmerizing view of the Northern Lights from @stationcdrkelly's #YearInSpace https://t.co/Gdm2CtJhmd
YouTube,5,Likely to fizzle,82,47,2,51.0,0.037,@Shonduras wheels of fire 🔥🔥🔥
YouTube,2,Likely to fizzle,60,1197,247,1691.0,1.241,.@Maxgschneider and @iAm_Dytto turn the lights down low for an intense dance session. https://t.co/4xCcmg1Zz7 https://t.
instagram,2,Likely to fizzle,63,802,160,1122.0,0.823,Mark your calendars: #WWIM14🍴 is Sept. 17 and 18! And it's all about FOOD. Tell us about your InstaMeet here: https://t.
YouTube,2,Likely to fizzle,60,1078,216,1510.0,1.108,Domi-yes. Very rare triple spiral → https://t.co/tQ2mPsX007 https://t.co/uuOiDgxNom
instagram,2,Likely to fizzle,60,1274,284,1842.0,1.352,“I get so awe-inspired when I look at the stars and sky...the beauty in our world.” –Rob Simonsen #AstronomyDay https://
YouTube,2,Likely to fizzle,60,1196,202,1600.0,1.176,It’s gettin’ #HOTTERTHANHELL in here. https://t.co/Iv8JFDRLZU https://t.co/B754wVJRvX
YouTube,2,Likely to fizzle,60,1062,160,1382.0,1.012,One word: nope. https://t.co/RcBSkxoFJt https://t.co/PouJxtN0oe
instagram,2,Likely to fizzle,60,623,135,893.0,0.655,Meet the Game Boy Cameraman: a photographer who works with just 128 pixels. https://t.co/zgw0cXgBCO
