author,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
instagram,2,Likely to fizzle,60,1264,203,1670.0,1.226,“I don’t cook. Rice Krispies Treats are the only thing I can make.” –Jessica Siskin https://t.co/SkUFony6Iu
YouTube,2,Likely to fizzle,60,1453,175,1803.0,1.321,"Drop that sick beat, meow. https://t.co/hnLg1rsh0S https://t.co/UdknCNi9ta"
Twitter,2,Likely to fizzle,60,1407,1141,3689.0,3.517,"Starting today, you can pin a Tweet to your profile from iOS and Android. Go ahead, make a statement. 📌 http://t.co/iK31"
instagram,2,Likely to fizzle,60,898,130,1158.0,0.85,“You feel so alive after making it through a difficult rapid.” —@aleixkayak https://t.co/w1opoTAOBk
cnnbrk,2,Likely to fizzle,60,507,449,1405.0,1.02,"Los Angeles police shot and killed a boy, 14, after he shot at the officers, police say. https://t.co/ZlWeKqw3jD https:/"
Twitter,2,Likely to fizzle,60,866,249,1364.0,1.3,"This #TravelTuesday, we’re talking about a little place called Aspen. https://t.co/eiE7OcRtaU https://t.co/8OoxzoAQBj"
instagram,2,Likely to fizzle,60,1041,251,1543.0,1.133,The top 10 #Views from @Drake's Instagram👌 (via @billboard) https://t.co/jOuVSIJZXS
Twitter,10,Likely to fizzle,105,16,11,38.0,0.036,"@JohnPCordray The comments will still show up in your live video directly, just like they would if using Periscope."
Twitter,2,Likely to fizzle,60,112,83,278.0,0.265,"Thanks to @freelancewhales for coolest show ever! Ok, you can decide for yourself. Watch the show at http://t.co/JWsswJZ"
cnnbrk,2,Likely to fizzle,60,224,150,524.0,0.38,Islamist group Al-Shabaab takes credit for car bomb in Mogadishu that killed Somali general https://t.co/zfb8qIsmMu http
cnnbrk,2,Likely to fizzle,60,266,166,598.0,0.433,Veterinarian says he contracted tuberculosis from a wildebeest. https://t.co/Tgx17B8hC6 https://t.co/avr5S6rXXe
cnnbrk,2,Likely to fizzle,60,234,279,792.0,0.574,"At least 26 people die after tour bus crashes into guardrail, catches fire in Taiwan, official news agency says. 
https"
instagram,2,Likely to fizzle,60,511,98,707.0,0.519,Framing Lady Liberty from the ferry for #WHPgetclose https://t.co/Xl4D7vg6Bx
instagram,2,Likely to fizzle,60,576,128,832.0,0.61,"“The thing that makes me #PerfectlyMe is growing into old age positively, not invisibly.” —@alternativeage https://t.co/"
YouTube,22,Likely to fizzle,183,36,7,50.0,0.037,@anthemlights Thanks for visiting! Hope you had fun!
Twitter,2,Likely to fizzle,60,321,87,495.0,0.472,"@chrishemsworth, you ain't afraid of no ghosts (or spiders)! Can't wait for what you Tweet next. #LoveTwitter https://t."
Twitter,2,Likely to fizzle,60,3991,1142,6275.0,5.982,"Stickers overboard! #StickTogether with @EthanDolan, @GraysonDolan, and crew. https://t.co/tUzu8Am73e"
YouTube,7,Likely to fizzle,86,8,1,10.0,0.007,@lacieandrobin Hooray for vote goats! Too bad goats can't register to vote. #voteIRL
cnnbrk,3,Likely to fizzle,67,698,885,2468.0,1.791,6 people are missing after a small plane loses contact over Lake Erie. https://t.co/Z1rSnNWlPq
YouTube,5,Likely to fizzle,79,46,4,54.0,0.04,@TobyTurner Too real.
instagram,13,Likely to fizzle,125,1960,382,2724.0,2.001,"“Often I’ll be somewhere and I’ll see a pile of stuff and think, ‘Should I stick that on my face?’” —prop master Michael"
instagram,2,Likely to fizzle,60,1303,216,1735.0,1.274,Express yourself through song and dance #WHPexpressions https://t.co/iWcnsnkMS7
Twitter,73,Has legs,831,1612,757,3126.0,2.98,Happy #FirstDayOfSummer! Which emojis describe your summer plans?
instagram,2,Likely to fizzle,60,2282,397,3076.0,2.258,#WeeklyFluff https://t.co/UREgY8WxLq
Twitter,2,Likely to fizzle,60,5009,1291,7591.0,7.236,It all begins with a Tweet! Learn how you can start or join any conversation on Twitter. #TwitterTips https://t.co/yCccv
YouTube,9,Likely to fizzle,102,753,51,855.0,0.626,@AmazingPhil We did and it was a little prickly.
YouTube,6,Likely to fizzle,84,51,10,71.0,0.052,@Dormtainment So close! Won't be much longer 💯 💯 💯
YouTube,2,Likely to fizzle,60,597,137,871.0,0.638,"If you were a hummingbird, you’d probably be swiping right. 

How hummingbirds flirt → https://t.co/VhaSTNaZKh https:/"
Twitter,2,Likely to fizzle,60,709,284,1277.0,1.217,"Let the world weigh in by Tweeting a poll. #TwitterTips

🎯 https://t.co/JMBg3mMb7k
https://t.co/sjdTCLCvq0"
YouTube,26,Limited spread,249,27,7,41.0,0.03,@AwesomenessTVUK Well today's your lucky day! 🥑 🥑 🥑
YouTube,2,Likely to fizzle,60,793,99,991.0,0.726,"🚗🔥🚙     💃

Dance while the world burns to @ToveLo’s “True Disaster” → https://t.co/xRD8L2zNuF https://t.co/4S32GENEKT"
cnnbrk,2,Likely to fizzle,60,205,112,429.0,0.311,"3 suspects in the Kim Kardashian West heist have been released, including her chauffeur, Paris prosecutor says.… https:/"
YouTube,2,Likely to fizzle,60,1852,361,2574.0,1.886,"Eruption selfie! 

Close-Up View of Mount Semeru Volcano → https://t.co/ErCU7BU3zV https://t.co/s5UhOK6UyJ"
instagram,2,Likely to fizzle,60,850,182,1214.0,0.891,"“Every time I look at one of the drawings, they make me smile, and I think we need more of that.” —@MarieMcG23 https://t"
Twitter,41,Limited spread,411,1543,651,2845.0,2.712,"If you could pick a super power, what would it be? #NationalSuperheroDay 💪"
Twitter,2,Likely to fizzle,60,3298,6037,15372.0,14.654,"#RIPNelsonMandela. ""..to live in a way that respects and enhances the freedom of others."" http://t.co/48VUAvwGYV http://"
instagram,2,Likely to fizzle,60,694,113,920.0,0.675,Let your thumbs do all the rummaging👗 (via @garancedore) https://t.co/oFzvSftgkU
Twitter,2,Likely to fizzle,60,523,181,885.0,0.844,"The #debates continue, streaming LIVE on Twitter. Watch the final presidential debate on Wednesday, 10/19.
https://t.co"
instagram,2,Likely to fizzle,60,818,159,1136.0,0.833,Capture your real-life dreams &amp; participate in this weekend's hashtag project #WHPdaydream: https://t.co/bw1Xh1P3oF
YouTube,2,Likely to fizzle,60,2359,566,3491.0,2.558,Life is pizza.🍕🍕🍕 https://t.co/Z7UNvqdQN4 https://t.co/kpS4ANW7P0
instagram,2,Likely to fizzle,60,1307,271,1849.0,1.358,"Fact, fiction and everything in between 📚 #LibraryLoversMonth #Bookstagram  https://t.co/6zof3Gudk1"
instagram,2,Likely to fizzle,60,1288,324,1936.0,1.421,"“Liberté, égalité, fraternité”: celebrating France with @LucilleClerc https://t.co/t8F4aOYyHw https://t.co/APjZkWVE8Y"
instagram,2,Likely to fizzle,60,1466,471,2408.0,1.769,Raise your hand if you can't live without caffeine🙋 #NationalCoffeeDay https://t.co/CE3Fv3vYAA
Twitter,2,Likely to fizzle,60,201,48,297.0,0.283,"@DaleJr, Twitter is better with friends. Thanks for spreading the word! 🏁 #LoveTwitter  https://t.co/d80gk769xd"
instagram,2,Likely to fizzle,60,689,131,951.0,0.698,“The best part of the adventure lies in the unknown.” —@tyler_metcalfe https://t.co/yqoWdWvOjL
cnnbrk,2,Likely to fizzle,60,5674,2675,11024.0,7.994,"Mother Teresa, who devoted her life to helping the poor in India, has been declared a saint. https://t.co/WeRgKIgBLH htt"
Twitter,2,Likely to fizzle,60,93,22,137.0,0.13,@yasminrk_ Hey. 😉 https://t.co/YbgSesLUl7
YouTube,2,Likely to fizzle,60,966,173,1312.0,0.961,HEYYEYAAEYAAAEYAEYAA. He-Man’s back! https://t.co/Npyg1zNIyT https://t.co/Jpqb3qihoA
YouTube,2,Likely to fizzle,60,1920,354,2628.0,1.925,This guy’s about to drop in on a glass skateboard. Guess what happens next. https://t.co/YDtF52v2OR https://t.co/HBj3HBU
cnnbrk,2,Likely to fizzle,60,313,90,493.0,0.358,N.Y. Gov. Andrew Cuomo speaks at #DemConvention. Follow #DemsInPhilly events and analysis https://t.co/TeRFTKXYTz https:
cnnbrk,2,Likely to fizzle,60,19638,12678,44994.0,32.628,"US Army says it will not allow proposed route of Dakota Access Pipeline, a victory for the Standing Rock Sioux trib… htt"
cnnbrk,2,Likely to fizzle,60,464,456,1376.0,0.997,"Algae to blame for green water in Olympic diving pool but no risk to athletes, organizers say. https://t.co/4g16rgnwz9"
cnnbrk,2,Likely to fizzle,60,1062,679,2420.0,1.755,"2 men arrested, charged with murder in shooting of Nykea Aldridge, the cousin of NBA star Dwyane Wade. https://t.co/oByo"
instagram,21,Likely to fizzle,185,1029,349,1727.0,1.269,“Be yourself. Post what’s true to your business and you.” —@Jana_Lees
YouTube,17,Likely to fizzle,134,11,6,23.0,0.017,@Johnpiggott5 You know how it is: all's whale that ends whale.
YouTube,2,Likely to fizzle,60,1270,150,1570.0,1.152,.@zaralarsson’s living that #LushLife 😎  https://t.co/KAGbAd8e1N https://t.co/sPfoAdVOqM
YouTube,2,Likely to fizzle,60,629,121,871.0,0.638,You’re looking at the biggest rock band in the world → https://t.co/h2z95tsq1e https://t.co/JOTfYNR37j
cnnbrk,2,Likely to fizzle,60,1482,1075,3632.0,2.634,"America's middle class got its first raise since 2007, and the poverty rate went down, Census Bureau says. https://t.co/"
cnnbrk,2,Likely to fizzle,60,1626,1491,4608.0,3.342,"Debbie Reynolds, 84, was taken to a Los Angeles hospital one day after daughter Carrie Fisher died, LA Times says.… http"
YouTube,2,Likely to fizzle,60,1982,358,2698.0,1.977,You’re invited to the cutest prom ever. 🐶✨🐶  https://t.co/z6YL5ETUln https://t.co/y6OKApHLIY
Twitter,2,Likely to fizzle,60,264,68,400.0,0.381,"@CourtneyCymone Thanks Courtney, we think so too! #LoveTwitter https://t.co/JyitiYv1r1"
Twitter,2,Likely to fizzle,60,24,4,32.0,0.03,@KenRoth Wonder if he would’ve liked GIFs too. https://t.co/UMJQ9LXZJj
Twitter,4,Likely to fizzle,76,1028,286,1600.0,1.525,"Dr. King’s legacy will continue to inspire us all.

To honor that, share your visions for the future by Tweeting #IHav"
instagram,2,Likely to fizzle,60,966,209,1384.0,1.016,Star trails 🌟 #SpaceDay https://t.co/9pLz94C8Bs
instagram,2,Likely to fizzle,60,585,137,859.0,0.63,"Featured submissions from this weekend’s hashtag project: #WHPframeit
https://t.co/Q3rN27q8wX https://t.co/UFLbeCtCZV"
YouTube,2,Likely to fizzle,60,927,107,1141.0,0.836,He’ll steal your socks and melt with you. https://t.co/50bI2QEN5U https://t.co/lHfGIdAZXh
YouTube,2,Likely to fizzle,60,1340,287,1914.0,1.404,The view from a tree in 360 degrees → https://t.co/GWeD26qJUl https://t.co/Mwlzup2TFM
Twitter,7,Likely to fizzle,89,784,683,2150.0,2.05,We're pleased to welcome @marjscar to our board of directors.
instagram,5,Likely to fizzle,73,798,159,1116.0,0.819,Most heartwarming story ever 🐾 (via @POPSUGAR) https://t.co/BOY5ndwnuJ
Twitter,2,Likely to fizzle,60,1490,408,2306.0,2.198,"Great on the court, great in 140. Thanks for locking in with us, @StephenCurry30. #LoveTwitter https://t.co/hx1Fsu1SJX"
YouTube,74,Has legs,863,30,2,34.0,0.025,@LamarrWilson Enjoy your break! We'll see you ... in the fall?! 🍂 🍂 🍂
instagram,2,Likely to fizzle,60,1344,332,2008.0,1.474,"#DailyFluff
https://t.co/LUvfxwzfNl 🐾 https://t.co/nyl0tkxdOG"
instagram,2,Likely to fizzle,60,1047,241,1529.0,1.123,Playing dress-up in the animal world with Phannapast Taychamaythakool https://t.co/JGZDrw4FTs https://t.co/8Y9Je3SubG
YouTube,2,Likely to fizzle,60,1406,788,2982.0,2.185,.@adamlambert and @laleh come together to inspire strength. https://t.co/ISj7Eug1ew #WelcomeToTheShow https://t.co/vFKQY
YouTube,6,Likely to fizzle,84,15,29,73.0,0.053,@yogaghost @rhettandlink 👏 👏 👏 👏
instagram,2,Likely to fizzle,60,1313,275,1863.0,1.368,Working hard toward an @NFL dream with @BraxtonMiller5 https://t.co/DuLHxisrcG https://t.co/alicPfLQGP
YouTube,2,Likely to fizzle,60,735,115,965.0,0.707,"""Work hard at being the best at your craft.  Develop your skill and your voice. Meet people who can help."" -… https://t."
YouTube,3,Likely to fizzle,72,1124,251,1626.0,1.191,"OH MY DAYUM, it’s #NationalJunkFoodDay! @DaymDrops, take it away … https://t.co/D1yWEnsqxl https://t.co/dvKC0cNTFF"
Twitter,2,Likely to fizzle,60,1920,824,3568.0,3.401,"Celebrating the Cosmos -- Happy  #AstronomyDay ✨ 
https://t.co/dvj2Y3dwYz https://t.co/Ft4zGf7dpJ"
YouTube,2,Likely to fizzle,60,696,85,866.0,0.634,"Learn ""How to Win Game Day"" with @jakeandamir, @lifeaseva, @flula and friends. https://t.co/OKn9JE6uue https://t.co/DbeC"
cnnbrk,5,Likely to fizzle,76,173,171,515.0,0.373,"1 person killed, 6 hurt when car bomb explodes outside the CARE NGO in Kabul. https://t.co/Ls2qMTzbYh"
instagram,2,Likely to fizzle,60,922,191,1304.0,0.957,Get ready for Worldwide InstaMeet 14! Here's some inspiration from @StyleCaster in honor of #WWIM14🍴's theme: food. http
instagram,2,Likely to fizzle,60,1699,330,2359.0,1.732,#DailyFluff 🐾 https://t.co/gyhusS9MA5
Twitter,2,Likely to fizzle,60,832,281,1394.0,1.329,"Discover the latest on any topic, instantly. Search to see what everyone's saying. #TwitterTips https://t.co/EvdxGjppjp"
cnnbrk,2,Likely to fizzle,60,643,403,1449.0,1.052,"Libertarian and Green Party presidential candidates fail to qualify for first debate, commission says. https://t.co/6lE0"
YouTube,2,Likely to fizzle,60,1038,233,1504.0,1.103,Meet the man rescuing abandoned cats in Syria. https://t.co/Db1z2rLATH https://t.co/hAi1yZ2Gyp
YouTube,2,Likely to fizzle,60,1782,348,2478.0,1.821,You have much to learn young kitten-hopper. https://t.co/sPN8ZkSd4Z https://t.co/TUBpRgknMq
cnnbrk,2,Likely to fizzle,60,433,479,1391.0,1.009,"Turkish air raid kills as many as 200 Kurdish militia north of Aleppo, Syria, according to Turkish state-run media.… htt"
YouTube,3,Likely to fizzle,68,684,87,858.0,0.629,This video of a DIY planetarium is universally relatable → https://t.co/iBCMWTHpCq https://t.co/fRm7tVHiYV
cnnbrk,2,Likely to fizzle,60,300,350,1000.0,0.725,"Gov. Christie says 1 killed, 108 injured in train crash; train engineer critically injured and hospitalized. https://t.c"
Twitter,2,Likely to fizzle,60,757,319,1395.0,1.33,Bring some birthday joy to your profile. New today: add your birth date from our Android app. http://t.co/K7qa9hy1EO
instagram,2,Likely to fizzle,60,816,161,1138.0,0.835,“I wish people would see me as an ordinary teenage girl that happens to be transgender.” —@TheOrdinaryGrl_ https://t.co/
Twitter,2,Likely to fizzle,60,1682,2420,6522.0,6.217,Your Twitter archive is being gradually rolled out to users. Learn more about how to revisit your old Tweets here: http:
cnnbrk,2,Likely to fizzle,60,312,265,842.0,0.611,"Ecuador will allow Swedish officials to question WikiLeaks founder Julian Assange in Ecuadorian embassy in London. 
htt"
instagram,2,Likely to fizzle,60,1347,281,1909.0,1.402,"“Whenever I have a lack of inspiration, I take a walk near the water.” —Illustrator Doro Ottermann #WHPpatterns https://"
instagram,2,Likely to fizzle,60,1105,315,1735.0,1.274,Most entertaining sleeping baby ever 👶  (via @HuffPostParents) https://t.co/bChTZ2xF6j
YouTube,32,Limited spread,292,17,6,29.0,0.021,@kat_blaque We're thrilled that you could be in it! Hope you enjoyed the video! #KeepMakingHistory
Twitter,6,Likely to fizzle,87,402,128,658.0,0.627,"@SabrinaAnnLynn And in the words of MLK himself, ""Love is the only force capable of transforming an enemy into a friend."
Twitter,2,Likely to fizzle,60,136,205,546.0,0.52,Who joined Twitter in 2011? Day two of our annual #YearInReview series: http://t.co/6hEHtyeX
Twitter,29,Limited spread,277,27,17,61.0,0.058,"@IainRoster Cheers, Iain! Happy Birthday!🎈"
YouTube,2,Likely to fizzle,60,363,103,569.0,0.417,@IISuperwomanII 🦄  Congrats on the #Streamys win!! 🦄 https://t.co/3FridIxqo7
instagram,2,Likely to fizzle,60,1689,493,2675.0,1.964,Old-school Mumbai taxis get made over with @TaxiFabric https://t.co/ru0QAZYh2W https://t.co/Vxe1xzOAOQ
instagram,2,Likely to fizzle,60,946,194,1334.0,0.979,"Wherever you are, enjoy this gorgeous sunset from InstaMeet #WWIM13_Singapore. #LifeOnEarthWWIM13 https://t.co/WRf1Uj3ic"
YouTube,2,Likely to fizzle,60,1526,442,2410.0,1.766,Heading to into the weekend like → https://t.co/oqvNSWgnAH https://t.co/kBNNFDjOPx
Twitter,2,Likely to fizzle,60,88,252,592.0,0.564,A Triumph for Chile http://t.co/pNONYjo
YouTube,2,Likely to fizzle,60,2138,439,3016.0,2.21,It’s #WorldSmileDay so we made this playlist just for you → https://t.co/7qSce8JMNI 😀😀😀 https://t.co/wdveAE1olx
YouTube,2,Likely to fizzle,60,1135,279,1693.0,1.24,"🎶 Haᵃˡˡelᵤⱼaaaaah 

Let @PTXOfficial sing you something soothing →https://t.co/DFXC9gFPMQ https://t.co/QMZ9jQd15u"
instagram,2,Likely to fizzle,60,2136,437,3010.0,2.21,Featured submissions from this weekend’s hashtag project: #WHPtraditions https://t.co/gfTVkaR08L https://t.co/515QbI6WsO
instagram,2,Likely to fizzle,60,717,132,981.0,0.72,Instagrammers at #wwim14valencia in Spain were treated to a surreal sunset 🌅 #WWIM14🍴 https://t.co/LKuxjh4mUm
instagram,2,Likely to fizzle,60,923,148,1219.0,0.894,"️♥️+😸=😻  #WHPrealemojis
https://t.co/2UiOhGIqzJ"
instagram,2,Likely to fizzle,60,638,102,842.0,0.618,"A long walk down the aisle in Chihuahua, Mexico https://t.co/EC1pdbwSkT"
YouTube,2,Likely to fizzle,60,2091,421,2933.0,2.149,.@FLOTUS has met her dancing match! It's never too late to celebrate #BlackHistoryMonth. https://t.co/BUAjl36jR7 https:/
YouTube,2,Likely to fizzle,60,1178,277,1732.0,1.269,Weekend’s here. Later guys. https://t.co/vl6y5TXSv5 https://t.co/C3xw9k0IqO
instagram,2,Likely to fizzle,60,855,179,1213.0,0.89,Conserving Africa’s wildlife through art with @mamachui2 https://t.co/qFTnnEr43q
YouTube,2,Likely to fizzle,60,1107,119,1345.0,0.985,Everything you’ve ever wanted to know about @KendallJenner → https://t.co/nD7KjQQjsJ https://t.co/CR4TNYhHua
YouTube,11,Likely to fizzle,115,122,12,146.0,0.107,"@TimothyDeLaG When we think of you, we are going to think of this image from now on. #YouTubeRewind"
YouTube,2,Likely to fizzle,60,1250,203,1656.0,1.213,"List of strange things:
🔸 Eleven’s origins
🔸 Demogorgon
🔸 Pop Rocks
🔸 Gak

https://t.co/usCSsQwobR https://t.co/Vg"
instagram,5,Likely to fizzle,87,3029,1108,5245.0,3.851,“Of course I am a real ghost. If I were a normal person I wouldn’t be wearing a sheet.”—Mr. Boo
YouTube,15,Likely to fizzle,146,89,14,117.0,0.086,@GloZell Ooooo our favorite videos are when DeOnzell shows up!
Twitter,4,Likely to fizzle,72,24,8,40.0,0.038,"@williamnelligan Hey William! Links will still count for characters, but attaching photos, videos, GIFs, polls and Quote"
cnnbrk,2,Likely to fizzle,60,497,284,1065.0,0.772,"FARC rebels free 8 child soldiers in Colombia as part of potential peace deal, Red Cross says. https://t.co/o99bzmnZfE"
YouTube,2,Likely to fizzle,60,2277,529,3335.0,2.443,#KiteGoals https://t.co/tsYWE9KKuD https://t.co/lWA2xiui9d
instagram,2,Likely to fizzle,60,1057,209,1475.0,1.083,"#WeeklyFluff, trio of South African rescue felines edition: https://t.co/nbOo0oqfVj"
Twitter,2,Likely to fizzle,60,65,9,83.0,0.079,@mashtonaddy #LoveTwitter https://t.co/iFvBsi5LoD
instagram,2,Likely to fizzle,60,2154,472,3098.0,2.275,Participate in this weekend’s hashtag project: #WHPsplitsecond https://t.co/GL7sUznp2F https://t.co/2RrPwFNMQO
instagram,2,Likely to fizzle,60,1516,354,2224.0,1.633,"In the US, celebrate by watching the BEST videos, including @FinalCutKing's on Explore. Share yours #IGHalloween https:/"
YouTube,2,Likely to fizzle,60,1040,189,1418.0,1.039,When you eat meat for the first time in 22 years. https://t.co/6b4GQH1YEP https://t.co/IcMcJCG7Ew
YouTube,2,Likely to fizzle,60,2548,476,3500.0,2.564,When you look in the mirror and realize you've turned into a terrifying squid. https://t.co/KPf7HgvXMT #squidgoals https
cnnbrk,2,Likely to fizzle,60,472,341,1154.0,0.837,PA Attorney General Kathleen Kane has announced her resignation after being convicted of perjury and obstruction. https:
instagram,2,Likely to fizzle,60,3272,1075,5422.0,3.981,Nerding out on gorgeous landscape photography with @kloa_jadda https://t.co/zo6NlRTRwl https://t.co/QVoYQYxrUG
instagram,2,Likely to fizzle,60,1036,204,1444.0,1.06,Jamie Jones sings the blues with her dog Mookie for #WHPsightsandsounds https://t.co/HwMV5TKUoX
instagram,2,Likely to fizzle,60,855,152,1159.0,0.85,ICYMI: An awesome animation from @beck's 18-artist mashup of #beckWOW https://t.co/lDTwi48A5Z
Twitter,2,Likely to fizzle,60,56,103,262.0,0.25,We've painted a new Twitter Tale with @MuseumModernArt: Twitter is about Art http://t.co/NpuBoj7
Twitter,2,Likely to fizzle,60,511,177,865.0,0.825,Get the best of Twitter with play-by-play coverage of #WorldSeries Game 3 ⚾️ https://t.co/jSQewam4wf
Twitter,2,Likely to fizzle,60,24,10,44.0,0.042,@buggaie0512 https://t.co/DhLjjb9Kb8
Twitter,2,Likely to fizzle,60,89,328,745.0,0.71,#newtwitterceo http://t.co/9g5cLVO
Twitter,2,Likely to fizzle,60,1679,766,3211.0,3.061,"Celebrate our beautiful 🌍 #EarthDay 

https://t.co/QlVjhTbRgu https://t.co/2BWYMPOHpG"
Twitter,2,Likely to fizzle,60,547,206,959.0,0.914,Happening now: Follow @IliadLive as they live-Tweet the battles and divine interventions of Homer's The #Iliad. https://
cnnbrk,2,Likely to fizzle,60,319,242,803.0,0.582,"Bombings suspect Ahmad Rahami is unconscious and intubated at a NJ hospital, FBI says https://t.co/zXVHvPuycs https://t."
YouTube,2,Likely to fizzle,60,1413,218,1849.0,1.355,Never trust a big puff and a smile. https://t.co/aMehOaZipB https://t.co/ZPLg2Fl3Ne
Twitter,4,Likely to fizzle,76,281,2011,4303.0,4.102,"Yesterday, we saw more than 600,000 signups. It took us more than *16 months* to reach the first 600,000 Twitter account"
instagram,2,Likely to fizzle,60,533,92,717.0,0.526,Tasting the rainbow with 🍝 artist @SaltySeattle https://t.co/0JvsFN2xaq
Twitter,2,Likely to fizzle,60,66,214,494.0,0.471,Your tweets will help @JimmyFallon introduce the presenters at the Emmy Awards on Sunday: http://t.co/iLejwLp #imontheem
YouTube,42,Limited spread,431,186,49,284.0,0.208,"@Sia Such an accomplishment! Congratulations, you incredible artist you."
YouTube,74,Has legs,908,221,12,245.0,0.179,@MKBHD Can’t wait for your take on everything!
instagram,2,Likely to fizzle,60,1072,477,2026.0,1.488,Now you can mention people in your Instagram Stories. Try it with your friends! https://t.co/sdYOni8nwc https://t.co/gvF
instagram,2,Likely to fizzle,60,946,151,1248.0,0.915,"Ahoy! Meet today's #WeeklyFluff treasure, one-eyed @piratecatwillie https://t.co/QD7vZ7QOXo"
YouTube,2,Likely to fizzle,60,2620,489,3598.0,2.636,It’s a party in the USA and we’ve got all the BBQ jams you need → https://t.co/B9LIEWqmo4 #HappyFourthOfJuly https://t.c
YouTube,2,Likely to fizzle,60,1203,188,1579.0,1.16,"Always stoked to see YouTubers on TV. Congrats, @SimoneGiertz 👏 👏 👏 https://t.co/q0Y4xa09Ui https://t.co/H6i9PhlPdD"
instagram,2,Likely to fizzle,60,1788,559,2906.0,2.134,"#DailyFluff #MayThe4thBeWithYou
https://t.co/Gr95DKfNaE 🐾 https://t.co/fnIRomNb4s"
Twitter,2,Likely to fizzle,60,713,164,1041.0,0.992,Rewind to the best moments from last night's #TNF matchup between the @Broncos and @Chargers. https://t.co/FtO8fjXg6Q
instagram,2,Likely to fizzle,60,926,176,1278.0,0.938,Get ready to celebrate #LegallyBlonde15 with @RWitherspoon tomorrow on Instagram! #BendAndSnap 🎀 https://t.co/yWWeW70a3n
YouTube,2,Likely to fizzle,60,3031,809,4649.0,3.406,Drumming outside the lines with the Slow Mo Guys. https://t.co/SCrpX8n5rC https://t.co/MraxrJ3K6e
cnnbrk,2,Likely to fizzle,60,331,329,989.0,0.717,Oil prices leap after Russia and others agree to reduce their output. https://t.co/txOfYgnh4v https://t.co/vqRyEM2NuO
YouTube,2,Likely to fizzle,60,1479,625,2729.0,1.999,".@justinbieber, @MAJORLAZER &amp; @MOMOMOYOUTH dropped the dance vid for #ColdWater and it’s 🔥 →https://t.co/34uHYckelQ "
Twitter,2,Likely to fizzle,60,109,14,137.0,0.13,@LadySarahWoo Our kind of story time! #LoveTwitter https://t.co/5pG9iEjSIF
cnnbrk,2,Likely to fizzle,60,566,223,1012.0,0.734,"BREAKING: Republican Todd Young will win the Indiana Senate seat, CNN projects, a key hold for the GOP… https://t.co/BRl"
Twitter,2,Likely to fizzle,60,441,772,1985.0,1.892,Happy New Year! See the spikes in Tweets per second as people celebrated around the world: http://t.co/h1xvisAP
YouTube,2,Likely to fizzle,60,1041,147,1335.0,0.978,"Feeling very, very grounded after this video: https://t.co/zy8jmSo3Uk https://t.co/c56rqsggTU"
cnnbrk,2,Likely to fizzle,60,4996,4834,14664.0,10.634,"Part of Melania Trump speech plagiarized from Michelle Obama’s. Watch them side-by-side. 
https://t.co/tiTOR8iH6L https"
instagram,2,Likely to fizzle,60,873,173,1219.0,0.894,"Planting trees for a greener tomorrow at InstaMeet #wwim13krsk in Tatyshev Island, Russia #LifeOnEarthWWIM13🌱  https://t"
Twitter,2,Likely to fizzle,60,140,295,730.0,0.695,#FF Follow your mom in honor of Mother's Day! http://t.co/MJQc1CU
instagram,2,Likely to fizzle,60,708,132,972.0,0.713,Unforgettable #promposals (via @mashable)💐 https://t.co/NMqvkbzSmd
YouTube,2,Likely to fizzle,60,849,119,1087.0,0.796,"🍃🌿🌱👹🌱🌿🍃 

A chilled-out animated jungle adventure with @cheloumusic → https://t.co/NGHrusmHYG https://t.co/BgsY1KzCoD"
instagram,2,Likely to fizzle,60,1192,220,1632.0,1.199,It's a sweet day for bunnies and wannabe-bunnies. Watch #Easter pets scamper on Explore! https://t.co/77kaE7yxKa
Twitter,2,Likely to fizzle,60,357,656,1669.0,1.591,Tips from Twitter for keeping your account safe and secure: http://t.co/g0d6umq
YouTube,17,Likely to fizzle,171,63,13,89.0,0.065,@ItGetsBetter We love seeing unity like this. Thanks for the 💖 #ProudToBe
